NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00184995-01,[H][C@@]12CC[C@H](OP(O)(O)=O)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(OC(=O)N(CCCl)CCCl)C=C4
NCGC00260471-01,[O-][N+](=O)C1=CC=C2NN=CC2=C1
NCGC00256746-01,CCC1=NC=CN=C1C
NCGC00183024-01,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)CC2=C(C)N(C(=O)C3=CC=C(Cl)C=C3)C4=C2C=C(OC)C=C4)CC1)NC(=O)C5=CC=CC=C5
NCGC00159390-02,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC2=CC(OC3=CC=CC=C3)=CC=C2
NCGC00254857-01,CCN(CC1=C(Cl)C=CC=C1F)C2=C(C=C(C=C2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
NCGC00257696-01,O=C1OC(=O)C2=C1C=CC=C2
NCGC00256901-01,CC(C)=CCCC(C)(OC(=O)C=CC1=CC=CC=C1)C=C
NCGC00255833-01,COC(=O)CC(=O)C(C)(C)C
NCGC00258817-01,CC1=CC(N)=CC=C1
NCGC00025347-01,Cl.CC(C1=CNC=N1)C2=C(C)C(C)=CC=C2
NCGC00095321-04,COC1=CC(=CC=C1O)\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C(OC)=C2
NCGC00260051-01,[Co++].[CH-]1C=CC=C1.[CH-]2C=CC=C2
NCGC00257461-01,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2
NCGC00016725-01,COC1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)OC(C)=O
NCGC00256234-01,CC(O)C#CC(C)O
